url,released_on,name,score,aired_on,kind,episodes,image,episodes_aired,russian,id,status
/animes/1-cowboy-bebop,1999-04-24,Cowboy Bebop,8.75,1998-04-03,tv,26,"{'original': '/system/animes/original/1.jpg?1701404643', 'preview': '/system/animes/preview/1.jpg?1701404643', 'x96': '/system/animes/x96/1.jpg?1701404643', 'x48': '/system/animes/x48/1.jpg?1701404643'}",0,Ковбой Бибоп,1,released
/animes/100-shin-shirayuki-hime-densetsu-pretear,2001-06-27,Shin Shirayuki-hime Densetsu Pretear,7.16,2001-04-04,tv,13,"{'original': '/system/animes/original/100.jpg?1701439891', 'preview': '/system/animes/preview/100.jpg?1701439891', 'x96': '/system/animes/x96/100.jpg?1701439891', 'x48': '/system/animes/x48/100.jpg?1701439891'}",0,Легенда о новой Белоснежке Притиар,100,released
/animes/1000-uchuu-kaizoku-captain-herlock,1979-02-13,Uchuu Kaizoku Captain Herlock,7.7,1978-03-14,tv,42,"{'original': '/system/animes/original/1000.jpg?1701446810', 'preview': '/system/animes/preview/1000.jpg?1701446810', 'x96': '/system/animes/x96/1000.jpg?1701446810', 'x48': '/system/animes/x48/1000.jpg?1701446810'}",0,Космический пират капитан Харлок,1000,released
/animes/10014-shouwa-monogatari,2011-06-26,Shouwa Monogatari,6.84,2011-04-04,tv,13,"{'original': '/system/animes/original/10014.jpg?1701440637', 'preview': '/system/animes/preview/10014.jpg?1701440637', 'x96': '/system/animes/x96/10014.jpg?1701440637', 'x48': '/system/animes/x48/10014.jpg?1701440637'}",9,История из эпохи Сёва,10014,released
/animes/10015-yu-gi-oh-zexal,2012-09-24,Yu☆Gi☆Oh! Zexal,6.42,2011-04-11,tv,73,"{'original': '/system/animes/original/10015.jpg?1701452132', 'preview': '/system/animes/preview/10015.jpg?1701452132', 'x96': '/system/animes/x96/10015.jpg?1701452132', 'x48': '/system/animes/x48/10015.jpg?1701452132'}",74,Югио! Зексал,10015,released
/animes/10030-bakuman-2nd-season,2012-03-24,Bakuman. 2nd Season,8.34,2011-10-01,tv,25,"{'original': '/system/animes/original/10030.jpg?1701399746', 'preview': '/system/animes/preview/10030.jpg?1701399746', 'x96': '/system/animes/x96/10030.jpg?1701399746', 'x48': '/system/animes/x48/10030.jpg?1701399746'}",25,Бакуман 2,10030,released
/animes/10049-nurarihyon-no-mago-sennen-makyou,2011-12-18,Nurarihyon no Mago: Sennen Makyou,7.94,2011-07-03,tv,24,"{'original': '/system/animes/original/10049.jpg?1701430785', 'preview': '/system/animes/preview/10049.jpg?1701430785', 'x96': '/system/animes/x96/10049.jpg?1701430785', 'x48': '/system/animes/x48/10049.jpg?1701430785'}",24,Внук Нурарихёна: Тысячелетняя столица духов,10049,released
/animes/1005-star-ocean-ex,2001-09-25,Star Ocean EX,6.59,2001-04-03,tv,26,"{'original': '/system/animes/original/1005.jpg?1701441832', 'preview': '/system/animes/preview/1005.jpg?1701441832', 'x96': '/system/animes/x96/1005.jpg?1701441832', 'x48': '/system/animes/x48/1005.jpg?1701441832'}",0,Звёздный океан Экс,1005,released
/animes/10073-seikon-no-qwaser-ii,2011-06-28,Seikon no Qwaser II,6.3,2011-04-12,tv,12,"{'original': '/system/animes/original/10073.jpg?1701437919', 'preview': '/system/animes/preview/10073.jpg?1701437919', 'x96': '/system/animes/x96/10073.jpg?1701437919', 'x48': '/system/animes/x48/10073.jpg?1701437919'}",11,Адепт святого знака 2,10073,released
/animes/10079-hoshizora-e-kakaru-hashi,2011-06-27,Hoshizora e Kakaru Hashi,6.69,2011-04-11,tv,12,"{'original': '/system/animes/original/10079.jpg?1701414928', 'preview': '/system/animes/preview/10079.jpg?1701414928', 'x96': '/system/animes/x96/10079.jpg?1701414928', 'x48': '/system/animes/x48/10079.jpg?1701414928'}",12,Мост в звёздное небо,10079,released
/animes/101-air,2005-03-25,Air,7.28,2005-01-07,tv,12,"{'original': '/system/animes/original/101.jpg?1701397086', 'preview': '/system/animes/preview/101.jpg?1701397086', 'x96': '/system/animes/x96/101.jpg?1701397086', 'x48': '/system/animes/x48/101.jpg?1701397086'}",0,Высь,101,released
/animes/10110-mayo-chiki,2011-09-30,Mayo Chiki!,7.22,2011-07-08,tv,13,"{'original': '/system/animes/original/10110.jpg?1701426082', 'preview': '/system/animes/preview/10110.jpg?1701426082', 'x96': '/system/animes/x96/10110.jpg?1701426082', 'x48': '/system/animes/x48/10110.jpg?1701426082'}",12,"Эй, цыпочка!",10110,released
/animes/1013-le-chevalier-d-eon,2007-02-24,Le Chevalier D'Eon,7.18,2006-07-02,tv,24,"{'original': '/system/animes/original/1013.jpg?1701422885', 'preview': '/system/animes/preview/1013.jpg?1701422885', 'x96': '/system/animes/x96/1013.jpg?1701422885', 'x48': '/system/animes/x48/1013.jpg?1701422885'}",0,Шевалье Д'Эон,1013,released
/animes/10135-manga-hajimete-monogatari,1984-03-31,Manga Hajimete Monogatari,6.13,1978-05-06,tv,305,"{'original': '/system/animes/original/10135.jpg?1701425480', 'preview': '/system/animes/preview/10135.jpg?1701425480', 'x96': '/system/animes/x96/10135.jpg?1701425480', 'x48': '/system/animes/x48/10135.jpg?1701425480'}",0,Анимированные исторические заметки,10135,released
/animes/10136-manga-doushite-monogatari,1986-03-29,Manga Doushite Monogatari,6.03,1984-04-07,tv,100,"{'original': '/system/animes/original/10136.jpg?1701425453', 'preview': '/system/animes/preview/10136.jpg?1701425453', 'x96': '/system/animes/x96/10136.jpg?1701425453', 'x48': '/system/animes/x48/10136.jpg?1701425453'}",0,Анимированные почемучки,10136,released
/animes/10137-manga-naruhodo-monogatari,1988-03-26,Manga Naruhodo Monogatari,0.0,1986-04-05,tv,102,"{'original': '/system/animes/original/10137.jpg?1701425552', 'preview': '/system/animes/preview/10137.jpg?1701425552', 'x96': '/system/animes/x96/10137.jpg?1701425552', 'x48': '/system/animes/x48/10137.jpg?1701425552'}",0,Анимированные познавательные истории,10137,released
/animes/10138-manga-hajimete-omoshiro-juku,1991-04-27,Manga Hajimete Omoshiro Juku,6.35,1989-02-04,tv,110,"{'original': '/system/animes/original/10138.jpg?1701425480', 'preview': '/system/animes/preview/10138.jpg?1701425480', 'x96': '/system/animes/x96/10138.jpg?1701425480', 'x48': '/system/animes/x48/10138.jpg?1701425480'}",0,Анимированные истории о школе,10138,released
/animes/10155-dog-days,2011-06-25,Dog Days,6.85,2011-04-02,tv,13,"{'original': '/system/animes/original/10155.jpg?1701406137', 'preview': '/system/animes/preview/10155.jpg?1701406137', 'x96': '/system/animes/x96/10155.jpg?1701406137', 'x48': '/system/animes/x48/10155.jpg?1701406137'}",12,Собачьи дни,10155,released
/animes/10161-no-6,2011-09-16,No.6,7.56,2011-07-08,tv,11,"{'original': '/system/animes/original/10161.jpg?1701430300', 'preview': '/system/animes/preview/10161.jpg?1701430300', 'x96': '/system/animes/x96/10161.jpg?1701430300', 'x48': '/system/animes/x48/10161.jpg?1701430300'}",10,Шестая зона,10161,released
/animes/10162-usagi-drop,2011-09-16,Usagi Drop,8.34,2011-07-08,tv,11,"{'original': '/system/animes/original/10162.jpg?1701447324', 'preview': '/system/animes/preview/10162.jpg?1701447324', 'x96': '/system/animes/x96/10162.jpg?1701447324', 'x48': '/system/animes/x48/10162.jpg?1701447324'}",10,Брошенный кролик,10162,released
/animes/10163-c-the-money-of-soul-and-possibility-control,2011-06-24,C: The Money of Soul and Possibility Control,7.16,2011-04-15,tv,11,"{'original': '/system/animes/original/10163.jpg?1701401757', 'preview': '/system/animes/preview/10163.jpg?1701401757', 'x96': '/system/animes/x96/10163.jpg?1701401757', 'x48': '/system/animes/x48/10163.jpg?1701401757'}",11,Контроль,10163,released
/animes/10165-nichijou,2011-09-25,Nichijou,8.46,2011-04-03,tv,26,"{'original': '/system/animes/original/10165.jpg?1701429307', 'preview': '/system/animes/preview/10165.jpg?1701429307', 'x96': '/system/animes/x96/10165.jpg?1701429307', 'x48': '/system/animes/x48/10165.jpg?1701429307'}",26,Мелочи жизни,10165,released
/animes/10177-dd-hokuto-no-ken,2011-04-06,DD Hokuto no Ken,6.04,2011-01-12,tv,12,"{'original': '/system/animes/original/10177.jpg?1701405457', 'preview': '/system/animes/preview/10177.jpg?1701405457', 'x96': '/system/animes/x96/10177.jpg?1701405457', 'x48': '/system/animes/x48/10177.jpg?1701405457'}",9,Легенда боевых лентяев Северной звезды,10177,released
/animes/10187-hensemi-tv,2011-07-01,HenSemi (TV),6.5,2011-04-08,tv,13,"{'original': '/system/animes/original/10187.jpg?1701413200', 'preview': '/system/animes/preview/10187.jpg?1701413200', 'x96': '/system/animes/x96/10187.jpg?1701413200', 'x48': '/system/animes/x48/10187.jpg?1701413200'}",13,Физиология извращенцев,10187,released
/animes/10194-bada-ui-jeonseol-jangbogo,,Bada-ui Jeonseol Jangbogo,5.95,2002-01-01,tv,26,"{'original': '/system/animes/original/10194.jpg?1701399340', 'preview': '/system/animes/preview/10194.jpg?1701399340', 'x96': '/system/animes/x96/10194.jpg?1701399340', 'x48': '/system/animes/x48/10194.jpg?1701399340'}",26,Легенда моря,10194,released
/animes/10197-nyanpire-the-animation,2011-09-21,Nyanpire The Animation,6.65,2011-07-06,tv,12,"{'original': '/system/animes/original/10197.jpg?1701430806', 'preview': '/system/animes/preview/10197.jpg?1701430806', 'x96': '/system/animes/x96/10197.jpg?1701430806', 'x48': '/system/animes/x48/10197.jpg?1701430806'}",11,Мяупырь,10197,released
/animes/102-aishiteruze-baby,2004-10-09,Aishiteruze Baby★★,7.44,2004-04-03,tv,26,"{'original': '/system/animes/original/102.jpg?1701397037', 'preview': '/system/animes/preview/102.jpg?1701397037', 'x96': '/system/animes/x96/102.jpg?1701397037', 'x48': '/system/animes/x48/102.jpg?1701397037'}",0,Моя малышка,102,released
/animes/1021-kaikan-phrase,2000-03-26,Kaikan Phrase,7.32,1999-04-20,tv,44,"{'original': '/system/animes/original/1021.jpg?1701417790', 'preview': '/system/animes/preview/1021.jpg?1701417790', 'x96': '/system/animes/x96/1021.jpg?1701417790', 'x48': '/system/animes/x48/1021.jpg?1701417790'}",0,Чувственные слова,1021,released
/animes/10210-bug-tte-honey,1987-09-25,Bug tte Honey,7.0,1986-10-03,tv,51,"{'original': '/system/animes/original/10210.jpg?1701401545', 'preview': '/system/animes/preview/10210.jpg?1701401545', 'x96': '/system/animes/x96/10210.jpg?1701401545', 'x48': '/system/animes/x48/10210.jpg?1701401545'}",0,Пчёлка Хани,10210,released
/animes/10213-maji-de-watashi-ni-koi-shinasai,2011-12-18,Maji de Watashi ni Koi Shinasai!,6.67,2011-10-02,tv,12,"{'original': '/system/animes/original/10213.jpg?1701425207', 'preview': '/system/animes/preview/10213.jpg?1701425207', 'x96': '/system/animes/x96/10213.jpg?1701425207', 'x48': '/system/animes/x48/10213.jpg?1701425207'}",12,"Эй, люби меня всерьёз!",10213,released
/animes/10217-kaitou-tenshi-twin-angel-kyunkyun-tokimeki-paradise,2011-09-20,Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!,6.08,2011-07-05,tv,12,"{'original': '/system/animes/original/10217.jpg?1701417901', 'preview': '/system/animes/preview/10217.jpg?1701417901', 'x96': '/system/animes/x96/10217.jpg?1701417901', 'x48': '/system/animes/x48/10217.jpg?1701417901'}",11,"Небесные воровки, близняшки-ангелочки",10217,released
/animes/1022-generator-gawl,1998-12-23,Generator Gawl,6.86,1998-10-07,tv,12,"{'original': '/system/animes/original/1022.jpg?1701410328', 'preview': '/system/animes/preview/1022.jpg?1701410328', 'x96': '/system/animes/x96/1022.jpg?1701410328', 'x48': '/system/animes/x48/1022.jpg?1701410328'}",0,Генератор Гаул,1022,released
/animes/10224-uchuu-majin-daikengou,1979-02-15,Uchuu Majin Daikengou,6.0,1978-07-27,tv,26,"{'original': '/system/animes/original/10224.jpg?1701446871', 'preview': '/system/animes/preview/10224.jpg?1701446871', 'x96': '/system/animes/x96/10224.jpg?1701446871', 'x48': '/system/animes/x48/10224.jpg?1701446871'}",0,"Дайкэнго, Страж Космоса",10224,released
/animes/10232-tamayura-hitotose,2011-12-19,Tamayura: Hitotose,7.33,2011-10-03,tv,12,"{'original': '/system/animes/original/10232.jpg?1701443159', 'preview': '/system/animes/preview/10232.jpg?1701443159', 'x96': '/system/animes/x96/10232.jpg?1701443159', 'x48': '/system/animes/x48/10232.jpg?1701443159'}",0,Тамаюра: Год спустя,10232,released
/animes/10236-kagee-grimm-douwa,1981-01-01,Kagee Grimm Douwa,0.0,1980-01-01,tv,52,"{'original': '/system/animes/original/10236.jpg?1701417630', 'preview': '/system/animes/preview/10236.jpg?1701417630', 'x96': '/system/animes/x96/10236.jpg?1701417630', 'x48': '/system/animes/x48/10236.jpg?1701417630'}",0,Сказки братьев Гримм в тенях,10236,released
/animes/10237-ki-fighter-taerang,2003-03-19,Ki-Fighter Taerang,0.0,2002-08-21,tv,26,"{'original': '/system/animes/original/10237.jpg?1701420032', 'preview': '/system/animes/preview/10237.jpg?1701420032', 'x96': '/system/animes/x96/10237.jpg?1701420032', 'x48': '/system/animes/x48/10237.jpg?1701420032'}",0,Ки-Файтер,10237,released
/animes/10239-mayutoro-the-toons,2004-03-01,Mayutoro The Toons,0.0,2003-10-01,tv,33,"{'original': '/system/animes/original/10239.jpg?1701426063', 'preview': '/system/animes/preview/10239.jpg?1701426063', 'x96': '/system/animes/x96/10239.jpg?1701426063', 'x48': '/system/animes/x48/10239.jpg?1701426063'}",0,Бровастая мультяшка,10239,released
/animes/10241-sekai-monoshiri-ryoko,1974-12-31,Sekai Monoshiri Ryoko,5.63,1971-10-01,tv,1006,"{'original': '/system/animes/original/10241.jpg?1701438043', 'preview': '/system/animes/preview/10241.jpg?1701438043', 'x96': '/system/animes/x96/10241.jpg?1701438043', 'x48': '/system/animes/x48/10241.jpg?1701438043'}",0,Поучительное Кругосветное Путешествие,10241,released
/animes/10242-ton-ton-atta-to-niigata-no-mukashibanashi,2004-12-26,Ton-Ton Atta to Niigata no Mukashibanashi,0.0,2004-10-03,tv,13,"{'original': '/system/animes/original/10242.jpg?1701445716', 'preview': '/system/animes/preview/10242.jpg?1701445716', 'x96': '/system/animes/x96/10242.jpg?1701445716', 'x48': '/system/animes/x48/10242.jpg?1701445716'}",0,,10242,released
/animes/1025-kachou-ouji,1999-10-07,Kachou Ouji,6.97,1999-07-08,tv,13,"{'original': '/system/animes/original/1025.jpg?1701417567', 'preview': '/system/animes/preview/1025.jpg?1701417567', 'x96': '/system/animes/x96/1025.jpg?1701417567', 'x48': '/system/animes/x48/1025.jpg?1701417567'}",0,Столоначальник Одзи,1025,released
/animes/10250-ultra-b,1989-03-27,Ultra B,6.17,1987-04-05,tv,119,"{'original': '/system/animes/original/10250.jpg?1701447088', 'preview': '/system/animes/preview/10250.jpg?1701447088', 'x96': '/system/animes/x96/10250.jpg?1701447088', 'x48': '/system/animes/x48/10250.jpg?1701447088'}",0,Ультра Би,10250,released
/animes/10257-pretty-rhythm-aurora-dream,2012-03-31,Pretty Rhythm: Aurora Dream,7.43,2011-04-09,tv,51,"{'original': '/system/animes/original/10257.jpg?1701434881', 'preview': '/system/animes/preview/10257.jpg?1701434881', 'x96': '/system/animes/x96/10257.jpg?1701434881', 'x48': '/system/animes/x48/10257.jpg?1701434881'}",51,Прекрасный ритм: Мечта Авроры,10257,released
/animes/10271-gyakkyou-burai-kaiji-hakairoku-hen,2011-09-28,Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,2011-04-06,tv,26,"{'original': '/system/animes/original/10271.jpg?1701411684', 'preview': '/system/animes/preview/10271.jpg?1701411684', 'x96': '/system/animes/x96/10271.jpg?1701411684', 'x48': '/system/animes/x48/10271.jpg?1701411684'}",26,Кайдзи 2,10271,released
/animes/10278-the-idolm-ster,2011-12-23,The iDOLM@STER,7.61,2011-07-08,tv,25,"{'original': '/system/animes/original/10278.jpg?1701444553', 'preview': '/system/animes/preview/10278.jpg?1701444553', 'x96': '/system/animes/x96/10278.jpg?1701444553', 'x48': '/system/animes/x48/10278.jpg?1701444553'}",25,Идолмастер,10278,released
/animes/10282-manga-nippon-mukashibanashi,1975-03-25,Manga Nippon Mukashibanashi,6.05,1975-01-07,tv,12,"{'original': '/system/animes/original/10282.jpg?1701425525', 'preview': '/system/animes/preview/10282.jpg?1701425525', 'x96': '/system/animes/x96/10282.jpg?1701425525', 'x48': '/system/animes/x48/10282.jpg?1701425525'}",0,Анимационные старинные японские сказки,10282,released
/animes/103-akazukin-chacha,1995-06-30,Akazukin Chacha,7.53,1994-01-07,tv,74,"{'original': '/system/animes/original/103.jpg?1701397165', 'preview': '/system/animes/preview/103.jpg?1701397165', 'x96': '/system/animes/x96/103.jpg?1701397165', 'x48': '/system/animes/x48/103.jpg?1701397165'}",0,Красная шапочка Тятя,103,released
/animes/10319-chou-dendou-robo-tetsujin-28-gou-fx,1993-03-30,Chou Dendou Robo Tetsujin 28-gou FX,6.42,1992-04-05,tv,47,"{'original': '/system/animes/original/10319.jpg?1701403731', 'preview': '/system/animes/preview/10319.jpg?1701403731', 'x96': '/system/animes/x96/10319.jpg?1701403731', 'x48': '/system/animes/x48/10319.jpg?1701403731'}",0,Железный человек №28 Эф-Экс,10319,released
